학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 광주여자대학교 , 기존 , 광주 , 사립 , 21 , 990 ," 5,329 ", - ," 5,329 ", 990 , - , 990 ," 3,735 ", - ," 3,735 ", 112 , - , 112 
 대학교 , 국민대학교 , 기존 , 서울 , 사립 , 127 ," 3,527 "," 28,637 "," 14,099 "," 14,538 "," 3,393 "," 1,705 "," 1,688 "," 15,109 "," 7,777 "," 7,332 "," 1,839 ", 821 ," 1,018 "
 대학교 , 케이씨대학교 , 기존 , 서울 , 사립 , 34 , 336 ," 1,759 ", 719 ," 1,040 ", 303 , 116 , 187 ," 1,351 ", 557 , 794 , - , - , - 
 대학교 , 단국대학교 , 기존 , 경기 , 사립 , 70 ," 2,603 "," 33,593 "," 16,847 "," 16,746 "," 2,585 "," 1,270 "," 1,315 "," 11,691 "," 5,830 "," 5,861 ", 674 , 276 , 398 
 대학교 , 대진대학교 , 기존 , 경기 , 사립 , 57 ," 2,003 "," 11,683 "," 6,143 "," 5,540 "," 1,920 "," 1,012 ", 908 ," 7,438 "," 3,808 "," 3,630 ", 177 , 90 , 87 
 대학교 , 서울기독대학교 , 기존 , 서울 , 사립 , 16 , 146 , 470 , 171 , 299 , 128 , 53 , 75 , 501 , 199 , 302 , 3 , 1 , 2 
 대학교 , 덕성여자대학교 , 기존 , 서울 , 사립 , 42 ," 1,117 "," 13,528 ", - ," 13,528 "," 1,107 ", - ," 1,107 "," 5,506 ", - ," 5,506 ", 25 , - , 25 
 대학교 , 동국대학교 , 기존 , 서울 , 사립 , 94 ," 3,342 "," 50,572 "," 25,195 "," 25,377 "," 3,191 "," 1,485 "," 1,706 "," 13,944 "," 6,608 "," 7,336 "," 1,248 ", 401 , 847 
 대학교 , 동덕여자대학교 , 기존 , 서울 , 사립 , 44 ," 1,697 "," 19,931 ", - ," 19,931 "," 1,663 ", - ," 1,663 "," 6,938 ", - ," 6,938 ", 27 , - , 27 
 대학교 , 동서대학교 , 기존 , 부산 , 사립 , 114 ," 2,666 "," 16,308 "," 7,745 "," 8,563 "," 2,542 "," 1,264 "," 1,278 "," 10,367 "," 4,857 "," 5,510 ", 240 , 149 , 91 
 대학교 , 동아대학교 , 기존 , 부산 , 사립 , 138 ," 4,468 "," 28,584 "," 14,308 "," 14,276 "," 4,370 "," 2,095 "," 2,275 "," 18,342 "," 8,840 "," 9,502 ", 277 , 114 , 163 
 대학교 , 동의대학교 , 기존 , 부산 , 사립 , 167 ," 3,869 "," 28,011 "," 13,940 "," 14,071 "," 3,865 "," 2,043 "," 1,822 "," 14,825 "," 7,460 "," 7,365 ", 125 , 55 , 70 
 대학교 , 루터대학교 , 기존 , 경기 , 사립 , 5 , 87 , 341 , 158 , 183 , 87 , 45 , 42 , 369 , 161 , 208 , 2 , 1 , 1 
 대학교 , 명지대학교 자연캠퍼스 , 기존 , 경기 , 사립 , 49 ," 1,487 "," 13,147 "," 7,687 "," 5,460 "," 1,472 ", 918 , 554 ," 6,044 "," 3,720 "," 2,324 ", 181 , 96 , 85 
 대학교 , 명지대학교 인문캠퍼스 , 기존 , 서울 , 사립 , 55 ," 1,725 "," 12,746 "," 5,172 "," 7,574 "," 1,707 ", 661 ," 1,046 "," 7,263 "," 3,031 "," 4,232 "," 1,003 ", 358 , 645 
 대학교 , 부산가톨릭대학교 , 기존 , 부산 , 사립 , 25 , 990 ," 5,801 "," 2,125 "," 3,676 ", 937 , 383 , 554 ," 3,948 "," 1,516 "," 2,432 ", 16 , 9 , 7 
 대학교 , 부산외국어대학교 , 기존 , 부산 , 사립 , 107 ," 2,032 "," 8,886 "," 4,232 "," 4,654 "," 1,954 ", 905 ," 1,049 "," 8,088 "," 3,753 "," 4,335 ", 486 , 175 , 311 
 대학교 , 삼육대학교 , 기존 , 서울 , 사립 , 38 ," 1,299 "," 15,117 "," 6,616 "," 8,501 "," 1,275 ", 551 , 724 ," 5,517 "," 2,348 "," 3,169 ", 111 , 65 , 46 
 대학교 , 상명대학교 , 기존 , 서울 , 사립 , 56 ," 1,577 "," 14,335 "," 6,336 "," 7,999 "," 1,554 ", 746 , 808 ," 6,544 "," 3,023 "," 3,521 "," 1,114 ", 560 , 554 
 대학교 , 서강대학교 , 기존 , 서울 , 사립 , 36 ," 1,880 "," 38,189 "," 21,769 "," 16,420 "," 1,866 "," 1,100 ", 766 ," 8,275 "," 4,546 "," 3,729 "," 1,176 ", 364 , 812 
 대학교 , 서경대학교 , 기존 , 서울 , 사립 , 50 ," 1,552 "," 26,186 "," 12,379 "," 13,807 "," 1,532 ", 697 , 835 ," 6,185 "," 2,932 "," 3,253 ", 596 , 33 , 563 
 대학교 , 서울신학대학교 , 기존 , 경기 , 사립 , 12 , 532 ," 3,175 "," 1,126 "," 2,049 ", 534 , 181 , 353 ," 2,218 ", 731 ," 1,487 ", 33 , 12 , 21 
