학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 삼육대학교 , 기존 , 서울 , 사립 ,38,1299,15117,6616,8501,1275,551,724,5517,2348,3169,111,65,46
 대학교 , 상명대학교 , 기존 , 서울 , 사립 ,56,1577,14335,6336,7999,1554,746,808,6544,3023,3521,1114,560,554
 대학교 , 서강대학교 , 기존 , 서울 , 사립 ,36,1880,38189,21769,16420,1866,1100,766,8275,4546,3729,1176,364,812
 대학교 , 서경대학교 , 기존 , 서울 , 사립 ,50,1552,26186,12379,13807,1532,697,835,6185,2932,3253,596,33,563
 대학교 , 서울신학대학교 , 기존 , 경기 , 사립 ,12,532,3175,1126,2049,534,181,353,2218,731,1487,33,12,21
 대학교 , 서울여자대학교 , 기존 , 서울 , 사립 ,56,1719,23811,0,23811,1711,0,1711,7141,0,7141,39,0,39
 대학교 , 서울장신대학교 , 기존 , 경기 , 사립 ,3,126,333,183,150,119,73,46,476,253,223,1,1,0
 대학교 , 성결대학교 , 기존 , 경기 , 사립 ,31,1327,13259,6217,7042,1303,553,750,5418,2476,2942,89,39,50
 대학교 , 성공회대학교 , 기존 , 서울 , 사립 ,31,540,2726,1231,1495,529,218,311,2112,924,1188,2,0,2
 대학교 , 성균관대학교 , 기존 , 서울 , 사립 ,76,4102,70007,39868,30139,4087,2159,1928,19310,10205,9105,2677,788,1889
 대학교 , 성신여자대학교 , 기존 , 서울 , 사립 ,68,2264,23670,0,23670,2226,0,2226,8868,0,8868,22,0,22
 대학교 , 세종대학교 , 기존 , 서울 , 사립 ,99,2860,38713,20758,17955,2771,1535,1236,11946,6702,5244,924,528,396
 대학교 , 수원가톨릭대학교 , 기존 , 경기 , 사립 ,1,91,45,44,1,35,34,1,121,119,2,3,3,0
 대학교 , 수원대학교 , 기존 , 경기 , 사립 ,153,2363,25852,13365,12487,2327,1152,1175,9033,4530,4503,270,141,129
 대학교 , 숙명여자대학교 , 기존 , 서울 , 사립 ,53,2423,26882,0,26882,2407,0,2407,10123,0,10123,68,0,68
 대학교 , 숭실대학교 , 기존 , 서울 , 사립 ,54,3197,37160,20893,16267,3172,1694,1478,13613,7288,6325,1349,618,731
 대학교 , 신라대학교 , 기존 , 부산 , 사립 ,173,2344,13324,6758,6566,2069,1089,980,8921,4404,4517,352,173,179
 대학교 , 아세아연합신학대학교 , 기존 , 경기 , 사립 ,7,200,273,167,106,155,83,72,617,329,288,4,1,3
 대학교 , 아주대학교 , 기존 , 경기 , 사립 ,40,2199,30318,18523,11795,2179,1343,836,9548,5707,3841,312,121,191
 대학교 , 안양대학교 , 기존 , 경기 , 사립 ,62,1146,8587,4187,4400,1071,492,579,4484,2057,2427,8,3,5
 대학교 , 연세대학교 , 기존 , 서울 , 사립 ,106,4054,50464,28010,22454,4042,2082,1960,18924,9904,9020,1279,291,988
 대학교 , 용인대학교 , 기존 , 경기 , 사립 ,53,1740,14713,8011,6702,1654,968,686,6240,3378,2862,318,280,38
 대학교 , 을지대학교 , 기존 , 경기 , 사립 ,36,948,11930,4341,7589,934,307,627,3934,1220,2714,12,2,10
 대학교 , 이화여자대학교 , 기존 , 서울 , 사립 ,129,3379,30191,0,30191,3367,0,3367,15698,0,15698,975,0,975
 대학교 , 인제대학교 , 기존 , 부산 , 사립 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 대학교 , 장로회신학대학교 , 기존 , 서울 , 사립 ,3,163,535,252,283,157,75,82,648,330,318,6,4,2
 대학교 , 조선대학교 , 기존 , 광주 , 사립 ,122,4840,25039,13629,11410,4744,2530,2214,19469,10216,9253,413,230,183
 대학교 , 중앙대학교 서울캠퍼스 , 기존 , 서울 , 사립 ,65,3982,81757,43409,38348,3940,1984,1956,18747,9191,9556,1815,609,1206
 대학교 , 중앙대학교 안성캠퍼스 , 기존 , 경기 , 사립 ,52,1290,10990,4700,6290,1277,541,736,5017,2114,2903,473,177,296
 대학교 , 중앙승가대학교 , 기존 , 경기 , 사립 ,6,130,57,42,15,39,26,13,147,95,52,9,8,1
 대학교 , 총신대학교 , 기존 , 서울 , 사립 ,12,375,1864,782,1082,363,159,204,1693,688,1005,8,2,6
 대학교 , 추계예술대학교 , 기존 , 서울 , 사립 ,11,289,3383,976,2407,277,73,204,1111,288,823,1,0,1
 대학교 , 칼빈대학교 , 기존 , 경기 , 사립 ,9,140,323,211,112,115,78,37,578,344,234,226,133,93
 대학교 , 평택대학교 , 기존 , 경기 , 사립 ,54,908,11392,6265,5127,959,529,430,3854,2059,1795,406,191,215
 대학교 , 차의과학대학교 , 기존 , 경기 , 사립 ,13,501,2726,890,1836,498,172,326,2281,808,1473,6,2,4
 대학교 , 한국성서대학교 , 기존 , 서울 , 사립 ,11,247,1682,601,1081,236,101,135,1049,406,643,27,10,17
 대학교 , 한국외국어대학교 , 기존 , 서울 , 사립 ,128,3833,39415,15861,23554,3809,1515,2294,17438,7147,10291,1776,598,1178
 대학교 , 한국항공대학교 , 기존 , 경기 , 사립 ,12,939,8817,6792,2025,928,706,222,3963,3034,929,80,57,23
 대학교 , 한성대학교 , 기존 , 서울 , 사립 ,93,1680,17810,8844,8966,1625,814,811,6567,3346,3221,182,41,141
 대학교 , 한세대학교 , 기존 , 경기 , 사립 ,26,651,5849,2311,3538,616,220,396,2624,939,1685,27,12,15
 대학교 , 한신대학교 , 기존 , 경기 , 사립 ,60,1309,11757,5971,5786,1274,629,645,5267,2564,2703,139,92,47
 대학교 , 한양대학교 , 기존 , 서울 , 사립 ,68,3567,63370,37859,25511,3547,2066,1481,15709,9134,6575,1856,721,1135
 대학교 , 한양대학교 , 기존 , 경기 , 사립 ,64,2344,33952,19982,13970,2273,1287,986,9176,5203,3973,573,275,298
 대학교 , 서울한영대학교 , 기존 , 서울 , 사립 ,19,202,1088,430,658,202,73,129,695,250,445,0,0,0
 대학교 , 협성대학교 , 기존 , 경기 , 사립 ,24,1065,8087,3317,4770,1062,418,644,4152,1662,2490,190,81,109
 대학교 , 호남대학교 , 기존 , 광주 , 사립 ,52,1714,11121,5290,5831,1703,877,826,7074,3567,3507,734,426,308
 대학교 , 호남신학대학교 , 기존 , 광주 , 사립 ,4,139,215,103,112,139,67,72,526,241,285,2,1,1
 대학교 , 홍익대학교 , 기존 , 서울 , 사립 ,52,2701,36142,18071,18071,2876,1415,1461,12136,5877,6259,1092,259,833
 대학교 , 남부대학교 , 기존 , 광주 , 사립 ,31,782,4100,1830,2270,768,354,414,3053,1344,1709,292,165,127
 대학교 , 예원예술대학교 , 기존 , 경기 , 사립 ,11,120,1102,370,732,113,32,81,408,123,285,9,5,4
 대학교 , 한북대학교 , 폐교 , 경기 , 사립 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 대학교 , 광주대학교 , 기존 , 광주 , 사립 ,72,1745,9482,4138,5344,1721,843,878,6963,3208,3755,86,29,57
 대학교 , 신경대학교 , 기존 , 경기 , 사립 ,17,259,1530,795,735,163,93,70,569,317,252,0,0,0
 대학교 , 동명대학교 , 기존 , 부산 , 사립 ,63,2166,12768,6944,5824,2027,1172,855,7835,4791,3044,405,246,159
